gid,Code,Name,Includes,Associated,Level,Description,Img_1,Img_2,Page
170,B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,Exterior Wall Construction (Cold-Form Metal Framing),,,200,See B2010.20,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/785.png,,58
171,B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,Exterior Wall Construction (Cold-Form Metal Framing),,,300,See B2010.20,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/790.png,,59
172,B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,Exterior Wall Construction (Cold-Form Metal Framing),,,350,"Inclusions:
• King studs and headers
• Backing and blocking
• Shear panels
• All penetrations modeled at rough-opening
dimensions.
• Cladding and sheathing",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/791.png,,59
173,B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,Exterior Wall Construction (Cold-Form Metal Framing),,,400,"Inclusions:
• Individual studs",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/792.png,,59
184,B2010.20.50 / 21-02 20 10 20 50 /,Exterior Wall Construction (Cast-in Place Concrete),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: ,100,N/A,,,62
185,B2010.20.50 / 21-02 20 10 20 50 /,Exterior Wall Construction (Cast-in Place Concrete),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: ,200,See B2010.20,,,62
186,B2010.20.50 / 21-02 20 10 20 50 /,Exterior Wall Construction (Cast-in Place Concrete),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: ,300,See B2010.20,,,62
187,B2010.20.50 / 21-02 20 10 20 50 /,Exterior Wall Construction (Cast-in Place Concrete),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: ,350,"Inclusions:
• Penetrations at rough opening dimensions.
• Pour joints
• Control joints
• Expansion joints
• Anchor elements
• Embeds
• Embeds
• Dowels
• Post tension anchor points",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/809.png,,62
188,B2010.20.50 / 21-02 20 10 20 50 /,Exterior Wall Construction (Cast-in Place Concrete),"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",Associated Masterformat Sections: ,400,"Inclusions:
• Rebar including hooks and lap splices
• Post-tensioning tendons
• Pour Joints",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/810.png,,63
161,B2010.20 / 21-02 20 10 20 / EF 25 10,Exterior Wall Construction,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,100,N/A,,,56
162,B2010.20 / 21-02 20 10 20 / EF 25 10,Exterior Wall Construction,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,200,"Inclusions
• Generic wall objects separated by type of material (e.g.
masonry, concrete).
• Approximate thickness of layer represented by a single
object.",,,56
163,B2010.20 / 21-02 20 10 20 / EF 25 10,Exterior Wall Construction,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,300,"Inclusions:
• Single model element with accurate thickness and
shape
• Openings with any dimension greater than 6” (15 cm) or
as noted
• Window and door openings at nominal dimensions",,,56
152,B20 / 21-02 20 / EF 25 10,Exterior Vertical Enclosures,,Associated Masterformat Sections: 01 83 16 ,100,"Inclusions:
• Solid mass model representing overall building volume;
or, schematic wall elements that are not distinguishable
by type or material.",,,53
613,G2030.30,Exterior Steps and Ramps,,,100,See G20,,,178
614,G2030.30,Exterior Steps and Ramps,,,200,"Inclusions:
• Full plan extents",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1456.png,,178
615,G2030.30,Exterior Steps and Ramps,,,300,"Inclusions:
• Stair grades at top and bottom
• Nosing",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1463.png,,179
616,G2030.30,Exterior Steps and Ramps,,,350,"Inclusions:
• Thickened edges and/or footings",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/1464.png,,179
617,G2030.30,Exterior Steps and Ramps,,,400,"Inclusions:
• Additional profile and nosing details
• Dowels and reinforcing",,,179
217,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,Exterior Oversize Doors,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,100,N/A,,,68
218,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,Exterior Oversize Doors,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,200,See B2050,,,68
219,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,Exterior Oversize Doors,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,300,"Inclusions
• Specific door panels and frames (if applicable).
• Operation
• If clearances are to be modeled indicate in a note
• Indication of hardware set",,,68
220,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,Exterior Oversize Doors,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,350,"Inclusions
• jambs
• Thresholds
• Operation and mechanism element envelopes
• Connections and interfaces",,,68
221,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,Exterior Oversize Doors,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,400,Inclusions TBD,,,68
200,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,Exterior Operating Windows,Includes: Window screens and storm windows. ,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,100,N/A,,,65
201,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,Exterior Operating Windows,Includes: Window screens and storm windows. ,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,200,See B2020,,,65
202,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,Exterior Operating Windows,Includes: Window screens and storm windows. ,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,300,"Inclusions:
• specific type and size
• Direction of opening",,,65
203,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,Exterior Operating Windows,Includes: Window screens and storm windows. ,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,350,"Inclusions:
• Attachment elements of window to structure",,,65
204,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,Exterior Operating Windows,Includes: Window screens and storm windows. ,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,400,"Inclusions:
• Detailed frame extrusion profiles
• Fasteners",,,65
222,B2070 / 21-02 20 70 / Ss 25 50 45 45,Exterior Louvers and Vents,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",Associated Masterformat Sections: 08 90 00 ,100,"Inclusions
• symbol",,,69
223,B2070 / 21-02 20 70 / Ss 25 50 45 45,Exterior Louvers and Vents,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",Associated Masterformat Sections: 08 90 00 ,200,"Inclusions
• Generic model element",,,69
224,B2070 / 21-02 20 70 / Ss 25 50 45 45,Exterior Louvers and Vents,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",Associated Masterformat Sections: 08 90 00 ,300,"Inclusions
• element envelope",,,69
225,B2070 / 21-02 20 70 / Ss 25 50 45 45,Exterior Louvers and Vents,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",Associated Masterformat Sections: 08 90 00 ,350,"Inclusions
• vanes",,,69
226,B30 / 21-02 30 / --,Exterior Horizontal Enclosures,,Associated Masterformat Sections: 01 83 16 ,100,"Inclusions:
• Solid mass model representing overall building
volume; or, schematic wall elements that are not
distinguishable by type or material.",,,71
212,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,Exterior Entrance Doors,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,100,N/A,,,67
213,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,Exterior Entrance Doors,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,200,See B2050,,,67
214,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,Exterior Entrance Doors,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,300,"Inclusions
• Specific door panels and frames (if applicable).
• Operation
• If clearances are to be modeled indicate in a note
• Panic bars if applicable",,,68
215,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,Exterior Entrance Doors,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,350,"Inclusions
• Grillwork if applicable
• jambs
• Thresholds
• Operation and mechanism element envelopes
• Connections and interfaces
• hardware",,,68
216,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,Exterior Entrance Doors,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,400,Inclusions TBD,,,68
210,B2050 / 21-02 20 50 / Ss 25 30 20,Exterior Doors and Grilles,"Includes: Doors, grilles, and gates located in the exterior vertical enclosure. Includes screen and storm door assemblies. Includes Exterior Door Supplementary Components as appropriate. May Include: Wall Opening Supplementary Components as appropriate. ",Associated Masterformat Sections: 01 83 16 ,100,N/A,,,67
211,B2050 / 21-02 20 50 / Ss 25 30 20,Exterior Doors and Grilles,"Includes: Doors, grilles, and gates located in the exterior vertical enclosure. Includes screen and storm door assemblies. Includes Exterior Door Supplementary Components as appropriate. May Include: Wall Opening Supplementary Components as appropriate. ",Associated Masterformat Sections: 01 83 16 ,200,"Inclusions
• Generic object",,,67
